,报警时间,报警电话,证件类型,联系人电话,小型客车子类,当事人事故责任,当事人处罚情况,证件号码,姓名,城市,街道,GPS_X,GPS_Y,发生地点,普通路面类型,道路级别,路口,路段,斑马线,信号灯,证件号码合法性,户籍,年龄,电话归属地
1,2020-12-01 22:21:17,18248480965.0,身份证,18248480965,客运网约车,nan,nan,422825198810114454,张荣,梅市,石家庄街,119.944296584982,30.097262635875,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,湖北省,34,浙江
2,2020-12-01 21:21:10,13500599252.0,身份证,13500599252,非营运,nan,nan,211381199612278296,林红霞,慧县,郭路,119.945421709799,30.045358805853,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,辽宁省,26,安徽
3,2020-12-01 21:20:13,nan,身份证,15057188534,非营运,全部,已处罚,320831199506081068,吴帅,银川县,乌鲁木齐街,119.934256663262,30.038822422433,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,江苏省,27,浙江
4,2020-12-01 21:13:39,15085699499.0,身份证,15085699499,nan,无责,未发现违法行为,230805198304179586,李桂兰,武汉县,哈尔滨路,119.75001,29.99805,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,黑龙江省,39,贵州
5,2020-12-01 20:46:16,15938399252.0,身份证,15938399252,nan,无责,未发现违法行为,361127200007015606,王丽,佳市,董街,119.946664272439,30.046655271192,普通路面,路口,城市道路,T字路口,nan,是,有,合法,江西省,22,河南
6,2020-12-01 20:12:34,13738136582.0,身份证,18357147883,非营运,无责,未发现违法行为,410800198209196611,张辉,晶县,通辽路,119.971528287016,30.038272696524,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,河南省,40,浙江
7,2020-12-01 19:58:38,18768118774.0,身份证,18768118774,非营运,无责,未发现违法行为,310151201609227483,黄彬,洁市,朱街,119.870459933587,29.914567752373,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,上海市,6,不合法的电话号码
8,2020-12-01 19:27:51,15258868990.0,身份证,15258868990,非营运,无责,未发现违法行为,140727199902258044,裘亮,晶县,张路,119.95238,30.07537,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,山西省,23,浙江
9,2020-12-01 19:21:19,15324476439.0,身份证,15324476439,nan,nan,nan,130626199411096219,蒲柳,南宁市,长春路,119.72229,29.9667,内部道路,nan,nan,nan,nan,nan,nan,合法,河北省,28,安徽
10,2020-12-01 19:20:55,15394266788.0,身份证,18958171357,非营运,无责,未发现违法行为,421223199805018239,吴勇,玉兰县,郑路,nan,nan,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,湖北省,24,浙江
11,2020-12-01 19:16:35,17857333896.0,身份证,15988180938,非营运,无责,未发现违法行为,511526199609013761,高倩,秀兰市,李路,119.917848478986,30.066553789586,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,四川省,26,浙江
12,2020-12-01 19:03:05,13706816295.0,身份证,13706816295,nan,nan,nan,130302198306122348,江龙,冬梅市,南昌路,119.988101918469,30.069178386718,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,河北省,39,浙江
13,2020-12-01 18:36:23,15857167305.0,身份证,13777359971,nan,无责,未发现违法行为,45092419970517118X,张阳,太原市,南昌路,119.961144852051,30.030052570865,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,广西壮族自治区,25,浙江
14,2020-12-01 18:31:49,15669536808.0,身份证,15669536808,非营运,nan,nan,220881199511247851,张凤英,乌鲁木齐县,合肥路,119.971807169923,30.031203474998,内部道路,nan,nan,nan,nan,nan,nan,合法,吉林省,27,浙江
15,2020-12-01 18:31:49,15967192402.0,身份证,15967192402,非营运,nan,nan,360900200004277902,赵旭,慧县,贵阳路,119.938346115923,30.05770211121,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,江西省,22,浙江
16,2020-12-01 18:31:26,13732235358.0,身份证,13777853631,nan,无责,未发现违法行为,511324199305085738,杨利,晨市,阳路,119.87356,29.99376,普通路面,路口,乡/村道,T字路口,nan,否,无,合法,四川省,29,浙江
17,2020-12-01 18:31:10,15158830484.0,身份证,15158830484,非营运,无责,未发现违法行为,21072619701115157X,王兵,海口市,陈街,119.954771379323,30.057509470828,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,辽宁省,52,浙江
18,2020-12-01 18:29:40,13362568609.0,身份证,13362568609,非营运,无责,未发现违法行为,430602199608232632,裴璐,合山市,王路,119.893050007208,30.064440002077,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,湖南省,26,浙江
19,2020-12-01 18:29:16,18758175135.0,nan,nan,nan,nan,nan,620502200404014890,张彬,邯郸县,合山路,119.697746222762,29.984817036958,普通路面,路口,县道,十字路口,nan,否,有,合法,甘肃省,18,未录入电话号码
20,2020-12-01 18:22:06,15972406141.0,身份证,15972406141,非营运,nan,nan,130530199303287789,纪欣,欣县,韦街,119.988072555233,30.069137945355,普通路面,路口,城市道路,十字路口,nan,是,有,合法,河北省,29,湖北
21,2020-12-01 18:18:00,18314899806.0,身份证,18314899806,nan,无法现场认定,待事故调查,320612200909197407,王杰,齐齐哈尔县,姚街,120.030650057354,30.033001385081,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,江苏省,13,浙江
22,2020-12-01 18:15:39,15158018071.0,身份证,18327553759,nan,nan,nan,420702198710241956,陈秀荣,天津县,姜路,119.891836841929,30.05821063413,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,湖北省,35,湖北
23,2020-12-01 18:08:38,13675876638.0,身份证,13675876638,非营运,nan,nan,140703201909156648,江桂荣,晨市,曹路,119.962443727165,30.05409731211,普通路面,路段,城市道路,nan,不在缺口上发生,否,无,合法,山西省,3,浙江
24,2020-12-01 18:06:50,nan,身份证,13588396058,非营运,nan,nan,410721198907254459,胡琴,桂兰市,曹路,119.744834,30.005376,普通路面,路段,县道,nan,不在缺口上发生,否,nan,合法,河南省,33,浙江
25,2020-12-01 17:50:33,13336027313.0,身份证,13336027313,非营运,nan,nan,130582199505259141,孙瑞,合肥市,马街,119.93635505368,30.053672876579,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,河北省,27,浙江
26,2020-12-01 17:40:18,15957128398.0,身份证,15957128398,nan,nan,nan,431302199901045021,罗岩,芳市,马鞍山路,119.910291130682,30.063990017737,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,湖南省,23,浙江
27,2020-12-01 17:38:40,15906681878.0,身份证,13968164976,nan,nan,nan,520281201703269746,孙建平,秀华市,阜新路,119.937601140995,30.030894926297,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,贵州省,5,浙江
28,2020-12-01 17:29:05,13661743599.0,身份证,17706442283,nan,全部,已处罚,371425199411046877,胡婷,晶市,蒋街,119.92575,30.02332,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,山东省,28,不合法的电话号码
29,2020-12-01 17:21:56,13738051725.0,身份证,13968019333,非营运,无责,未发现违法行为,130321198603056999,杨志强,西安市,深圳路,nan,nan,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,河北省,36,浙江
30,2020-12-01 17:21:38,13634166530.0,身份证,13626713248,nan,无责,未发现违法行为,320118201302072910,曾旭,娟市,张路,119.914827000385,30.054731999654,普通路面,路口,城市道路,不规则路口,nan,否,无,合法,江苏省,9,浙江
31,2020-12-01 17:17:21,18768466667.0,身份证,13911869797,非营运,同等,已处罚,140404201803243997,刘雪,长春县,东莞路,119.912227902269,30.009356612782,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,山西省,4,北京
32,2020-12-01 17:14:27,18258817671.0,身份证,18058819611,非营运,无法现场认定,待事故调查,21110420160301771X,朱平,荣县,赵路,119.609769267959,30.034007878132,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,辽宁省,6,不合法的电话号码
33,2020-12-01 17:12:40,15158092219.0,身份证,15088651898,nan,同等,内部道路不处罚,520325199808286280,张宁,荆门县,王路,119.66851,29.98639,内部道路,nan,nan,nan,nan,nan,nan,合法,贵州省,24,浙江
34,2020-12-01 17:12:08,13588390997.0,身份证,13588390997,nan,无责,未发现违法行为,371721200011076141,齐宁,济南县,太原路,119.866428407807,30.039808618221,普通路面,路口,城市道路,十字路口,nan,否,无,合法,山东省,22,浙江
35,2020-12-01 17:07:01,13456777178.0,身份证,15967114462,nan,无责,未发现违法行为,441802199205254646,杨兵,兴城市,潜江路,119.978243327095,30.077620959272,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,广东省,30,浙江
36,2020-12-01 17:03:16,18324490018.0,身份证,18324490018,非营运,无责,已处罚,331022199412259702,邵晨,北京市,六盘水街,119.93654794656,30.054769047965,普通路面,路段,县道,nan,不在缺口上发生,否,无,合法,浙江省,28,浙江
37,2020-12-01 16:58:25,15382328993.0,身份证,15382328993,非营运,无责,未发现违法行为,120102198805063327,李强,宁市,黄路,119.8514063421,29.988830761241,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,天津市,34,浙江
38,2020-12-01 16:45:08,15988879169.0,身份证,15988879169,非营运,无责,未发现违法行为,623025199904234990,王宁,乌鲁木齐县,昆明街,119.746293071808,30.000392682626,普通路面,路口,城市道路,十字路口,nan,否,有,合法,甘肃省,23,浙江
39,2020-12-01 16:31:54,nan,身份证,13819164910,非营运,无责,未发现违法行为,530722200207202520,魏强,飞县,南宁路,119.920751734744,30.063992918354,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,云南省,20,浙江
40,2020-12-01 16:31:49,13968174817.0,身份证,13968174817,非营运,无责,未发现违法行为,141029200007046791,吴金凤,六安县,西安路,120.028376222184,30.064818696745,普通路面,路段,乡/村道,nan,不在缺口上发生,否,无,合法,山西省,22,浙江
41,2020-12-01 16:29:09,13616531302.0,身份证,18329188508,非营运,无责,未发现违法行为,522627198302188970,杨云,宁德县,兴安盟街,119.93543129835,30.058400180538,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,贵州省,39,浙江
42,2020-12-01 16:27:43,15867171758.0,身份证,15867171758,非营运,无法现场认定,未发现违法行为,530481201904041070,温强,永安县,兰路,119.736853485196,29.98939705182,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,云南省,3,浙江
43,2020-12-01 16:24:38,15906638357.0,身份证,15824171348,nan,无责,未发现违法行为,610302199809281040,赵丽丽,合山市,尹街,119.733700301888,29.964790850403,普通路面,路口,城市道路,十字路口,nan,否,无,合法,陕西省,24,浙江
44,2020-12-01 16:22:17,nan,身份证,13221828587,客运出租车,无责,未发现违法行为,513226199904235573,李欣,凤兰市,鞠街,119.936079476613,30.062299368257,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,四川省,23,浙江
45,2020-12-01 16:10:20,13605574551.0,身份证,13605574551,nan,nan,nan,433124199012225830,刘伟,阳县,沈阳街,119.939331287876,30.037166138909,普通路面,路段,省道,nan,不在缺口上发生,否,无,合法,湖南省,32,安徽
46,2020-12-01 15:48:22,17348548100.0,身份证,15858160116,非营运,无责,未发现违法行为,150122196009192963,李建军,桂英县,辽阳路,119.946324623285,30.066249466767,普通路面,路口,城市道路,十字路口,nan,否,无,合法,内蒙古自治区,62,浙江
47,2020-12-01 15:40:12,13588282970.0,身份证,13588282970,非营运,nan,nan,440303199007136727,刘洋,大冶市,阜新街,119.715405693318,29.878966732299,普通路面,路段,城市道路,nan,不在缺口上发生,否,nan,合法,广东省,32,浙江
48,2020-12-01 15:36:09,nan,身份证,13588397358,nan,无责,未发现违法行为,360826200002072688,严秀云,军县,拉萨街,119.792536773035,29.884492806711,普通路面,路口,城市道路,不规则路口,nan,否,无,合法,江西省,22,浙江
